credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;Precio_rec;Diferencia;icvs;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
99426;20140505,0;20170930;20240831;84; 41;40368927,91;40368927,91;999;0,000000000000000000000000;0,000000000000000000000000;6156069,73000000045;0,0000000000000000;0,000000000000000000000000;ICV360;40368927;70;167717278;1,8732681164733180346;21550000,0000;Vehicular;;14805046,59099663235
99446;20140502,0;20180731;20240831;74; 51;14347845,78;14347845,78;999;0,000000000000000000000000;0,000000000000000000000000;592566,03000000003;0,0000000000000000;0,000000000000000000000000;ICV360;14347845;70;51976094;1,2077311262626260202;11880000,0000;Vehicular;;1129311,35909765493
99488;20140507,0;20171231;20240831;81; 44;18855689,74;8321867,81;999;0,558654818532244301643175;0,081754363687645506542090;1602117,96999999997;6787947,6365463808178902;4,236858810432281075009087;ICV360;8321867;70;21246044;1,0534009886075950124;7900000,0000;Vehicular;;1755636,96021904005
99506;20140507,0;20170930;20240831;84; 41;24250797,54;24250797,54;999;0,000000000000000000000000;0,000000000000000000000000;4353848,45999999996;0,0000000000000000;0,000000000000000000000000;ICV360;24250797;70;101995588;1,1572797680744451032;20955000,0000;Vehicular;;8132814,01201506052
99613;20140512,0;20180731;20240831;74; 51;2925337,00;2925337,00;999;0,000000000000000000000000;0,000000000000000000000000;1260297,57000000007;0,0000000000000000;0,000000000000000000000000;ICV360;2925337;70;9871413;0,4592365777080062994;6370000,0000;Vehicular;;1260297,57000000007
99650;20140513,0;20180731;20240831;74; 51;14785617,79;14785617,79;999;0,000000000000000000000000;0,000000000000000000000000;6369959,46999999974;0,0000000000000000;0,000000000000000000000000;ICV360;14785617;70;72758745;0,6054716539721538560;24420000,0000;Vehicular;;6369959,46999999974
99832;20140519,0;20180731;20240831;74; 51;12898804,66;12898804,66;999;0,000000000000000000000000;0,000000000000000000000000;532720,63000000000;0,0000000000000000;0,000000000000000000000000;ICV360;12898804;70;47169346;0,8031634283935241703;16060000,0000;Vehicular;;532720,63000000000
99836;20140519,0;20170930;20240831;84; 41;7231017,71;7231017,71;999;0,000000000000000000000000;0,000000000000000000000000;1604016,67999999993;0,0000000000000000;0,000000000000000000000000;ICV360;7231017;70;36447681;0,3309390256292906174;21850000,0000;Vehicular;;1604016,67999999993
99900;20140520,0;20170930;20240831;84; 41;16396382,83;9874856,88;999;0,397741746921628780420122;0,056151776035994652169769;3637118,95000000019;4681431,2115628523752093;1,287126232581107032615364;ICV360;9874856;70;27752308;0,7931611951807229222;12450000,0000;Vehicular;;3841349,63869667239
99963;20140526,0;20171231;20240831;81; 44;24464635,44;1783953,66;999;0,927080308865620317249068;0,135670289102285901439160;6840054,62999999989;11838910,2448604442179203;1,730821007325850091618236;ICV360;1783953;70;1882771;0,0847483923990498822;21050000,0000;Vehicular;;7768046,81912752893
