credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;Precio de compra;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
214954;20220812,0000000;20240930;20240930;1; 25;65188596,18;65188596,18;18;0,000000000000000000000000;0,000000000000000000000000;63201428,28444819897;65188596;70;67245262;0,65946986525037931681;98850000,0000;Vehicular;Reestructuracion;1,00000000000000
214976;20220930,0000000;20240930;20240930;1; 25;49658661,76;49658661,76;152;0,000000000000000000000000;0,000000000000000000000000;26138762,02403229848;49658661;70;59135914;0,79817186649629112694;62215500,0000;Vehicular;;1,00000000000000
214986;20220930,0000000;20240930;20240930;1; 25;29252947,36;29252947,36;152;0,000000000000000000000000;0,000000000000000000000000;15397834,02807880007;29252947;70;34245141;1,28725840968096805206;22725000,0000;Vehicular;;1,96544380726073
214995;20221004,0000000;20230531;20240930;17;  9;8964295,35;5584384,28;0;0,377041467068574387422331;0,251360978045716276785271;8334390,72387801018;5584384;70;5672825;0,06158681312379377104;90675000,0000;Libre Inversion;;1,25136097804572
214996;20221005,0000000;20231231;20240930;10; 16;54195904,79;54195904,79;453;0,000000000000000000000000;0,000000000000000000000000;24138115,85419040173;54195904;70;80205360;0,60794885653229835398;89145500,0000;Vehicular;;1,00000000000000
215019;20220728,0000000;20230430;20240930;18;  8;18690201,00;7814264,00;368;0,581905833971501973422846;0,367519474087264375050665;8149606,03329833969;7814264;70;11138737;0,38305215686274507458;20400000,0000;Vehicular;Reestructuracion;1,36751947408726
215089;20220926,0000000;20230731;20240930;15; 11;10529525,79;10529525,79;613;0,000000000000000000000000;0,000000000000000000000000;4591255,08964648005;10529525;70;19601518;0,32853434602184078406;32050000,0000;Vehicular;Reestructuracion;1,00000000000000
215101;20221006,0000000;20231130;20240930;11; 15;89904048,98;89904048,98;482;0,000000000000000000000000;0,000000000000000000000000;40042035,76684860140;89904048;70;135274781;0,96092399508336900915;93560000,0000;Vehicular;;1,00000000000000
215116;20220729,0000000;20230531;20240930;17;  9;35273396,00;19339580,77;185;0,451723310962176716198968;0,301148873974784514473413;15380480,97270439938;19339580;70;21141554;0,65116433569023557393;29700000,0000;Vehicular;Reestructuracion;1,30114887397478
215135;20221005,0000000;20230930;20240930;13; 12;24487588,79;24487588,79;544;0,000000000000000000000000;0,000000000000000000000000;10906437,43360540085;24487588;70;41014036;1,25096239029374189933;19575000,0000;Vehicular;;1,93822179272031
215157;20221007,0000000;20240731;20240930;3; 22;38512202,25;38512202,25;236;0,000000000000000000000000;0,000000000000000000000000;17152809,06977739930;38512202;70;48579398;0,88533798275862074512;43500000,0000;Vehicular;;1,00000000000000
215161;20221007,0000000;20240331;20240930;7; 18;75037373,50;75037373,50;389;0,000000000000000000000000;0,000000000000000000000000;32719018,00000000000;75037373;70;103837002;0,56118443301860332362;133712500,0000;Vehicular;;1,00000000000000
215203;20221007,0000000;20240331;20240930;7; 18;122143691,52;7022454,00;85;0,942506617307778626901893;1,413759925961667995863991;118420340,00000000000;7022454;70;9612158;0,06151952693823915796;114150000,0000;Vehicular;;2,41375992596167
215228;20221007,0000000;20240630;20240930;4; 21;86335600,53;85070855,63;85;0,014649170124907288925709;0,035158008299777498972816;38452697,73784089833;85070855;70;92141541;0,74427695214348199571;114300000,0000;Vehicular;;1,03515800829978
215230;20221007,0000000;20231231;20240930;10; 15;50622961,13;18954055,00;54;0,625583834352836487546767;0,682455092021276188418710;22073448,45510369912;18954055;70;20801190;0,54939289855072459545;34500000,0000;Vehicular;;1,68245509202128
215240;20220914,0000000;20230531;20240930;17;  8;44611881,00;19116578,18;16;0,571491321336573987466068;0,380994214224382621303278;19452399,39123110101;19116578;70;19760450;0,49492759042071199360;38625000,0000;Vehicular;Reestructuracion;1,38099421422438
215258;20221010,0000000;20231130;20240930;11; 14;116990000,00;116990000,00;456;0,000000000000000000000000;0,000000000000000000000000;61579867,59231259674;116990000;70;186129770;0,71817065684468994746;162900000,0000;Vehicular;;1,00000000000000
215307;20221011,0000000;20230531;20240930;17;  8;55136416,20;11690379,10;0;0,787973540797524685252995;0,525315693865016530850198;29022080,49230419844;11690379;70;11855911;0,20045231652949241363;58320000,0000;Vehicular;;1,52531569386502
215327;20221012,0000000;20240531;20240930;5; 20;75058519,72;75058519,72;304;0,000000000000000000000000;0,000000000000000000000000;33430039,79536810145;75058519;70;101648569;1,52325763003551495345;49275000,0000;Vehicular;;2,14244322252664
215328;20221012,0000000;20231130;20240930;11; 14;79962366,13;79962366,13;476;0,000000000000000000000000;0,000000000000000000000000;35614146,31045140326;79962366;70;116018753;1,23972660666666700813;64500000,0000;Vehicular;;1,92979495500000
215364;20221013,0000000;20240930;20240930;1; 24;11992634,76;11992634,76;17;0,000000000000000000000000;0,000000000000000000000000;5341355,48119840957;11992634;70;12486880;0,11988438806417750504;100035000,0000;Vehicular;;1,00000000000000
215394;20221014,0000000;20231231;20240930;10; 15;37084766,24;25901013,90;47;0,301572679941476795573152;0,328988378117974711312144;16517048,56022959948;25901013;70;27450414;0,90404935078534021109;28650000,0000;Vehicular;;1,32898837811797
215466;20221019,0000000;20240731;20240930;3; 22;32561141,74;32561141,74;134;0,000000000000000000000000;0,000000000000000000000000;17416056,21870769933;32561141;70;38255272;1,16706601218638006401;27900000,0000;Vehicular;;1,87529950913979
215475;20220909,0000000;20230930;20240930;13; 12;23502423,37;23502423,37;540;0,000000000000000000000000;0,000000000000000000000000;10467658,39034969918;23502423;70;41445214;0,97017227533539740492;24225000,0000;Vehicular;Reestructuracion;1,00000000000000
215489;20221020,0000000;20231231;20240930;10; 15;57150972,26;40552029,29;0;0,290440255232851218814005;0,316843914799474046795069;25454262,80398590118;40552029;70;40003755;0,24974305952270980935;162375000,0000;Vehicular;;1,31684391479947
