credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;Valoracion_pd
72728;20110610,00;20111130;20140430;30;  6;51139875,93;23754605,51;51;0,535497396542080283943221;0,2072893147904827093608304;NA;NA;NA;NA;NA;NA;NA;1,20728931479048
72823;20110615,00;20111130;20140430;30;  6;44070690,95;26500949,91;0;0,398671785289992197665043;0,1543245620477389223879072;NA;NA;NA;NA;NA;NA;NA;1,15432456204774
72825;20110616,00;20111130;20140430;30;  6;42634618,06;6355675,78;14;0,850926874235026220461009;0,3293910480909778559777124;NA;NA;NA;NA;NA;NA;NA;1,32939104809098
73042;20110623,00;20111130;20140430;30;  6;35846899,40;15008832,59;0;0,581307369919976890670910;0,2250222077109587937027158;NA;NA;NA;NA;NA;NA;NA;1,22502220771096
73116;20110628,00;20111130;20140430;30;  6;35897342,11;14462314,53;0;0,597120185508909773197672;0,2311432976163521890722308;NA;NA;NA;NA;NA;NA;NA;1,23114329761635
73157;20110628,00;20111130;20140430;30;  6;35901190,83;15689276,56;2;0,562987293811724409664521;0,2179305653464739811475681;NA;NA;NA;NA;NA;NA;NA;1,21793056534647
73266;20110630,00;20111130;20140430;30;  6;40096081,03;17213828,81;0;0,570685504223703010673319;0,2209105177640141026706999;NA;NA;NA;NA;NA;NA;NA;1,22091051776401
73279;20110630,00;20111130;20140430;30;  5;43793372,16;18730142,68;0;0,572306452867592962974186;0,2215379817551972885247835;NA;NA;NA;NA;NA;NA;NA;1,22153798175520
73375;20110706,00;20111130;20140430;30;  5;34932327,65;14939525,74;0;0,572329508365870265329534;0,2215469064642078267368674;NA;NA;NA;NA;NA;NA;NA;1,22154690646421
73411;20110711,00;20111130;20140430;30;  5;35136291,34;15351132,82;0;0,563097520126607631318905;0,2179732335973965096087568;NA;NA;NA;NA;NA;NA;NA;1,21797323359740
73476;20110712,00;20111130;20140430;30;  5;37545532,81;17470214,22;18;0,534692600890539937452672;0,2069777809898864506799043;NA;NA;NA;NA;NA;NA;NA;1,20697778098989
73672;20110719,00;20111130;20140430;30;  5;47327935,04;15850590,51;0;0,665090173560211161962741;0,2574542607329849408515088;NA;NA;NA;NA;NA;NA;NA;1,25745426073299
73756;20110722,00;20111130;20140430;30;  5;42497685,08;20621374,04;25;0,514764768923738236239274;0,1992637815188663952259418;NA;NA;NA;NA;NA;NA;NA;1,19926378151887
74881;20110717,00;20111130;20140430;30;  4;45587848,00;19975511,27;0;0,561823772203504767652760;0,2174801698852276699014396;NA;NA;NA;NA;NA;NA;NA;1,21748016988523
82125;20120607,00;20170930;20170930;1; 64;101750,08;0,00;0;1,000000000000000000000000;6,0000000000000000000000000;NA;NA;NA;NA;NA;NA;NA;7,00000000000000
