credito;Fecha_desembolso;fecha_inicio_p70;fecha_vigencia;Duracion_p70;Duracion_p10;Saldo_capital_inicial;Saldo_capital_final;dias_mora_actual;prop_recuperado;tasa_recuperacion_anual;saldo_capital;tipo_producto;valor_pago_ttl_canc;LTV;valor_garantia_final;libre_inversion_o_vehicular;marca_refi_restru;garantia_anterior;LTV_ant;Valoracion_pd
72115;20110512,00;20111130;20140430;30;  7;45246840,85;17537053,40;0;0,612413749323672429447640;0,2370633868349699691080446;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23706338683497
72166;20110516,00;20111130;20140430;30;  7;45728845,27;17736483,16;0;0,612137961164834876193197;0,2369566301283231590790734;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23695663012832
72181;20110516,00;20111130;20140430;30;  7;50420406,05;20080956,33;0;0,601729579288066807052360;0,2329275790792516565019810;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23292757907925
72310;20110523,00;20111130;20140430;30;  7;45728845,69;20232496,24;38;0,557555063227313185691969;0,2158277664105728299581699;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,21582776641057
72320;20110524,00;20111130;20140430;30;  7;51126153,57;19892645,24;0;0,610910583899808901087169;0,2364815163483131310595553;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23648151634831
72467;20110530,00;20111130;20140430;30;  7;35815881,28;14995386,01;0;0,581320200031666067808089;0,2250271742058062018898568;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,22502717420581
72516;20110530,00;20111130;20140430;30;  7;42623711,44;18109314,55;0;0,575135202022660774190399;0,2226329814281267638342854;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,22263298142813
72575;20110530,00;20111130;20140430;30;  7;37885209,92;14984958,06;0;0,604464167107880090412664;0,2339861292030503414629550;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23398612920305
72601;20110601,00;20111130;20140430;30;  6;36016418,26;14282542,77;0;0,603443555466972703094086;0,2335910537291507049761918;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,23359105372915
72639;20110602,00;20111130;20140430;30;  6;46591997,39;18966104,80;0;0,592932137224263300367966;0,2295221176351986969166319;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,22952211763520
72666;20110608,00;20111130;20140430;30;  6;45023633,19;1306156,97;204;0,970989525334661318645146;0,3758669130327720875328623;NA;NA;NA;NA;NA;NA;NA;NA;NA;1,37586691303277
